id,abs_id,nth_pitch_ab,out_count,strike_count,ball_count,is_rhp,has_stealing_attempt,pitch_type,pitch_release,is_obvious_off_zone,is_pitch_ended_catcher_want,has_swing,has_first_base_runner,has_second_base_runner,has_third_base_runner,has_visible_shift,score_diffrence,is_team_leading,has_swing_intention,horizontal_ending,vertical_ending,is_swing_delayed,is_swing_early,is_whiff,any_on_base,base_combination
a37a2ab3-3f60-4737-8834-2a9e47866382,23,2,2,0,1,True,False,slider,overhand,False,True,True,False,False,True,FALSE,2,False,True,outside,low,False,False,True,True,001
823e1a94-8dc2-4a0c-891c-f69554277cde,23,3,2,1,1,True,False,slider,overhand,True,False,False,False,False,True,FALSE,2,False,False,outside,low,False,False,False,True,001
76ac2963-24c7-4384-bf16-1beae52770a3,23,4,2,1,2,True,False,four_seam,overhand,False,True,False,False,False,True,FALSE,2,False,False,inside,high,False,False,False,True,001
521385f1-6247-4fd3-ad43-69762e18d1dc,23,5,2,2,2,True,False,four_seam,overhand,False,True,False,False,False,True,FALSE,2,False,False,outside,low,False,False,False,True,001
c030aded-de8d-470c-931a-c7b393f03532,23,6,2,2,3,True,False,slider,overhand,True,False,False,False,False,True,FALSE,2,False,False,outside,low,False,False,False,True,001
6267bba1-24cd-43c0-88e4-93dad35f292e,27,2,1,0,1,False,False,four_seam,overhand,False,True,False,False,False,False,FALSE,2,False,False,outside,low,False,False,False,False,000
4d63c779-d582-424a-bc49-e3a0cd2e5106,27,3,1,1,1,False,False,cutter,overhand,False,False,True,False,False,False,FALSE,2,False,True,outside,high,False,False,False,False,000
b064f220-140c-4387-97cd-48eb45d927d5,27,4,1,2,1,False,False,four_seam,overhand,True,False,False,False,False,False,FALSE,2,False,True,outside,high,False,False,False,False,000
b67373f6-bb98-4378-ae3f-f3643efa0adf,27,5,1,2,2,False,False,cutter,overhand,True,False,False,False,False,False,FALSE,2,False,False,outside,high,False,False,False,False,000
7162e7f6-3a54-45e3-b058-dba7d2fb31e7,27,6,1,2,3,False,False,four_seam,overhand,False,False,True,False,False,False,FALSE,2,False,True,middle,high,False,False,False,False,000
0926346f-c754-4101-b504-71ce258d4656,30,1,2,0,0,False,False,four_seam,overhand,False,True,True,False,False,False,FALSE,0,False,True,outside,middle,False,False,False,False,000
4b45cdc4-cef6-45c3-b73d-e88417a9fa03,30,2,2,1,0,False,False,four_seam,overhand,False,True,False,False,False,False,FALSE,0,False,False,inside,high,False,False,False,False,000
cdc78274-e52a-43ca-acf0-471397289077,30,3,2,2,0,False,False,cutter,overhand,False,True,True,False,False,False,FALSE,0,False,True,outside,high,True,False,True,False,000
2333c4f7-524d-489a-9cdf-7745cc7f1ce8,34,1,0,0,0,True,False,changeup,overhand,False,True,True,True,True,True,FALSE,2,True,True,inside,middle,False,False,False,True,111
d518f83e-1bf1-4d3f-b87b-45524fca066e,37,1,0,0,0,False,False,four_seam,overhand,False,False,True,True,False,False,FALSE,3,False,True,inside,high,False,False,False,True,100
66b29fdf-d486-43da-bc17-8947003a875a,39,1,0,0,0,True,False,four_seam,overhand,True,False,False,False,True,False,FALSE,3,False,False,inside,high,False,False,False,True,010
77991a8d-e1a4-4130-bee3-b9349a1b8e39,39,2,0,0,1,True,False,slider,overhand,False,True,True,False,True,False,FALSE,3,False,True,middle,low,True,False,True,True,010
5cc63483-7e93-4b0b-967d-d136ca402fd9,39,3,0,1,1,True,False,slider,overhand,False,False,True,False,True,False,FALSE,3,False,True,middle,high,False,False,False,True,010
77b6984a-e478-41c9-b12c-e83abc4f76b6,41,1,0,0,0,True,False,slider,overhand,False,True,True,True,False,True,FALSE,6,True,True,outside,middle,False,False,True,True,101
7cf561c0-e16d-4d49-9a1a-2edcc0aea85e,41,2,0,1,0,True,False,four_seam,overhand,False,True,True,True,False,True,FALSE,6,True,True,middle,low,False,False,False,True,101
9807fc1c-ea31-4328-a495-f84380629bf6,45,1,2,0,0,True,False,sinker,overhand,False,True,False,False,False,False,FALSE,2,True,False,outside,low,False,False,False,False,000
29809a27-d49b-49d6-b8cd-4a3702d7f209,45,2,2,1,0,True,False,changeup,overhand,False,True,True,False,False,False,FALSE,2,True,True,middle,low,False,False,False,False,000
c4afda11-88a6-4354-90f4-c3eac032e799,45,3,2,2,0,True,False,slider,overhand,False,True,True,False,False,False,FALSE,2,True,True,outside,low,False,False,False,False,000
f0a9aa87-2e38-4289-b7f6-41043419b68c,45,4,2,2,0,True,False,changeup,overhand,False,True,False,False,False,False,FALSE,2,True,False,middle,low,False,False,False,False,000
0c1df054-a3fb-4965-a11a-c5d59410f6e8,45,5,2,2,1,True,False,four_seam,overhand,True,False,False,False,False,False,FALSE,2,True,False,inside,high,False,False,False,False,000
a480bdc7-746b-4464-b7c9-1c6cb868cbc3,45,6,2,2,2,True,False,slider,overhand,False,True,True,False,False,False,FALSE,2,True,True,outside,middle,False,False,False,False,000
